TAILLE	TEMPS	SECONDES	VTGIB	VTMIB
147	00:23:12			
147	00:23:16			
147	00:23:19			
147	00:23:19			
147	00:23:12			
147	00:23:14			
147	00:23:12			
147	00:23:12			
147	00:23:14			
147	00:23:12			
131	00:20:28			
131	00:20:28			
131	00:21:08			
131	00:20:54			
131	00:20:54			
131	00:20:50			
131	00:20:50			
131	00:20:49			
131	00:20:50			
131	00:20:46			
116	00:18:37			
116	00:18:31			
116	00:18:45			
116	00:18:31			
116	00:18:29			
116	00:18:43			
116	00:18:39			
116	00:18:32			
116	00:18:35			
116	00:18:40			
91	00:14:20			
91	00:14:18			
91	00:14:18			
91	00:14:17			
91	00:14:20			
91	00:14:16			
91	00:14:18			
91	00:14:20			
91	00:14:17			
91	00:14:16			
80	00:12:47			
80	00:12:43			
80	00:12:42			
80	00:12:45			
80	00:12:46			
80	00:12:39			
80	00:12:44			
80	00:12:42			
80	00:13:00			
80	00:13:47			
75	00:12:09			
75	00:12:07			
75	00:12:03			
75	00:12:10			
75	00:12:07			
75	00:12:08			
75	00:12:02			
75	00:12:00			
75	00:12:04			
75	00:12:06			
60	00:09:47			
60	00:09:45			
60	00:09:49			
60	00:09:43			
60	00:09:41			
60	00:09:48			
60	00:09:47			
60	00:09:42			
60	00:09:50			
55	00:09:10			
55	00:09:11			
55	00:09:09			
55	00:09:12			
55	00:09:08			
55	00:09:07			
55	00:09:12			
55	00:09:00			
55	00:09:11			
55	00:09:09			
55	00:09:10			
45	00:07:21			
45	00:07:19			
45	00:07:21			
45	00:07:18			
45	00:07:20			
45	00:07:18			
45	00:07:23			
45	00:07:16			
45	00:07:19			
45	00:07:18			
40	00:06:30			
40	00:06:32			
40	00:06:28			
40	00:06:33			
40	00:06:27			
40	00:06:28			
40	00:06:31			
40	00:06:26			
40	00:06:32			
40	00:06:31			
35	00:05:48			
35	00:05:42			
35	00:05:51			
35	00:05:49			
35	00:06:03			
35	00:05:48			
35	00:05:46			
35	00:05:43			
35	00:05:47			
35	00:05:46			
30	00:05:01			
30	00:04:49			
30	00:04:54			
30	00:04:56			
30	00:04:59			
30	00:05:06			
30	00:05:04			
30	00:05:03			
30	00:05:01			
30	00:05:05			
25	00:04:17			
25	00:04:15			
25	00:04:09			
25	00:04:11			
25	00:04:09			
25	00:04:08			
25	00:04:12			
25	00:04:13			
25	00:04:16			
25	00:04:15			
20	00:03:33			
20	00:03:29			
20	00:03:31			
20	00:03:27			
20	00:03:32			
20	00:03:27			
20	00:03:31			
20	00:03:28			
20	00:03:30			
20	00:03:29			
15	00:02:49			
15	00:02:47			
15	00:02:41			
15	00:02:52			
15	00:02:44			
15	00:02:41			
15	00:02:40			
15	00:02:43			
15	00:02:45			
15	00:02:53			
10	00:02:06			
10	00:02:00			
10	00:01:59			
10	00:01:49			
10	00:01:58			
10	00:02:00			
10	00:02:01			
10	00:02:02			
10	00:01:59			
10	00:01:58			
5	00:01:15			
5	00:01:10			
5	00:01:06			
5	00:01:09			
5	00:01:08			
5	00:01:07			
5	00:01:10			
5	00:01:10			
5	00:01:09			
5	00:01:13			
