TAILLE,TEMPS,SECONDES,VTGIB,VTMIB
147.0,02:20:23,,,
147.0,02:20:18,,,
147.0,02:20:03,,,
147.0,02:20:07,,,
147.0,02:20:11,,,
147.0,02:20:06,,,
147.0,02:20:12,,,
147.0,02:20:10,,,
147.0,02:20:07,,,
131.0,02:34:00,,,
131.0,02:33:00,,,
131.0,02:36:00,,,
131.0,02:36:26,,,
131.0,02:33:24,,,
131.0,02:34:56,,,
131.0,02:32:45,,,
131.0,02:33:24,,,
131.0,02:34:23,,,
131.0,02:35:21,,,
131.0,02:34:20,,,
116.0,05:24:00,,,
116.0,05:21:32,,,
116.0,05:25:31,,,
116.0,05:21:20,,,
116.0,05:23:23,,,
116.0,05:26:59,,,
116.0,05:24:27,,,
116.0,05:22:51,,,
116.0,05:24:14,,,
116.0,05:24:18,,,
